桃園市-5,張誠,民國黨
桃園市-5,黃志浩,無
桃園市-5,蕭家亮,無
桃園市-5,羅文欽,無
桃園市-6,趙正宇,無
桃園市-6,孫大千,中國國民黨
桃園市-6,呂東杰,綠黨社會民主黨聯盟
桃園市-6,鄭振源,台灣未來黨
桃園市-6,藍大山,台灣獨立黨
桃園市-6,楊金軒,無
臺中市-1,顏秋月,中國國民黨
臺中市-1,蔡其昌,民主進步黨
臺中市-1,陳軍元,中華統一促進黨
臺中市-1,王淑芬,大愛憲改聯盟
臺中市-1,黃金推,無
臺中市-2,紀國棟,無
臺中市-2,顏寬恒,中國國民黨
臺中市-2,陳世凱,民主進步黨
臺中市-2,鍾文龍,無
臺中市-3,洪慈庸,時代力量
臺中市-3,楊瓊瓔,中國國民黨
臺中市-3,黃信吉,軍公教聯盟黨
臺中市-4,葉春幸,信心希望聯盟
臺中市-4,蔡錦隆,中國國民黨
臺中市-4,張廖萬堅,民主進步黨
臺中市-4,吳淑慧,民國黨
臺中市-4,游壽元,自由台灣黨
臺中市-4,顏惠莉,無
臺中市-5,簡孟軒,信心希望聯盟
臺中市-5,盧秀燕,中國國民黨
臺中市-5,苗豐隆,無
臺中市-5,劉國隆,台灣團結聯盟
臺中市-6,黃國書,民主進步黨
臺中市-6,沈智慧,中國國民黨
臺中市-6,賀姿華,無
臺中市-7,何欣純,民主進步黨
臺中市-7,石大哉,軍公教聯盟黨
臺中市-7,賴義鍠,中國國民黨
臺中市-8,王政棋,無
臺中市-8,謝志忠,民主進步黨
臺中市-8,江啟臣,中國國民黨
臺南市-1,葉宜津,民主進步黨
臺南市-1,黃瑞坤,中國國民黨
臺南市-1,陳柏志,中華統一促進黨
臺南市-1,林德旺,無
臺南市-2,黃耀盛,中國國民黨
臺南市-2,黃偉哲,民主進步黨
臺南市-2,黃泯甄,中華統一促進黨
臺南市-2,黃憲清,自由台灣黨
臺南市-2,王國棟,無
臺南市-3,陳亭妃,民主進步黨
臺南市-3,謝龍介,中國國民黨
臺南市-3,翁琬甯,中華統一促進黨
臺南市-3,鄧秀寶,民國黨
臺南市-4,林俊憲,民主進步黨
臺南市-4,陳淑慧,中國國民黨
臺南市-4,楊智達,綠黨社會民主黨聯盟
臺南市-4,傅建峰,中華統一促進黨
臺南市-4,蔡郁芝,時代力量
臺南市-4,陳皇州,大愛憲改聯盟
臺南市-5,李盈蒔,中華統一促進黨
臺南市-5,林易煌,中國國民黨
臺南市-5,王定宇,民主進步黨
臺南市-5,晏揚清,台灣工黨
高雄市-1,邱議瑩,民主進步黨
高雄市-1,劉子麟,中華統一促進黨
高雄市-1,莊婷欣,和平鴿聯盟黨
高雄市-1,鍾易仲,中國國民黨
高雄市-2,黃韻涵,中國國民黨
高雄市-2,邱志偉,民主進步黨
高雄市-2,黃金玲,中華統一促進黨
高雄市-2,曾盈豐,自由台灣黨
高雄市-2,李柏融,樹黨
高雄市-3,劉世芳,民主進步黨
高雄市-3,張顯耀,中國國民黨
高雄市-3,梁蓓禎,信心希望聯盟
高雄市-3,柳淑芳,無
高雄市-3,莊明憲,大愛憲改聯盟
高雄市-4,郭倫豪,中國國民黨
高雄市-4,林岱樺,民主進步黨
高雄市-4,林俊揚,中華統一促進黨
高雄市-5,蔡金晏,中國國民黨
高雄市-5,管碧玲,民主進步黨
高雄市-5,王新昌,軍公教聯盟黨
高雄市-5,楊宗穎,和平鴿聯盟黨
高雄市-6,李昆澤,民主進步黨
高雄市-6,楊翰奇,和平鴿聯盟黨
高雄市-6,黃柏霖,中國國民黨
高雄市-7,莊啟旺,中國國民黨
高雄市-7,趙天麟,民主進步黨
高雄市-7,陳惠敏,時代力量
高雄市-7,陳素莉,和平鴿聯盟黨
高雄市-7,林景元,無
